GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",522,11454.9
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",564,12376.56
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",406,8950.62
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",490,10755.05
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",450,9816.75
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",637,13767.02
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",495,10654.33
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2010 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",503,10970.56
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,Total other Criminal Code violations,103,2260.26
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,Total other Criminal Code violations,124,2721.09
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,Total other Criminal Code violations,81,1785.71
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,Total other Criminal Code violations,149,3270.41
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,Total other Criminal Code violations,128,2792.32
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,Total other Criminal Code violations,193,4171.17
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,Total other Criminal Code violations,147,3164.01
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2010 12:00:00 AM,Total other Criminal Code violations,116,2529.99
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,Total property crime violations,301,6605.22
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,Total property crime violations,331,7263.55
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,Total property crime violations,234,5158.73
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,Total property crime violations,245,5377.52
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,Total property crime violations,204,4450.26
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,Total property crime violations,300,6483.68
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,Total property crime violations,254,5467.07
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2010 12:00:00 AM,Total property crime violations,276,6019.63
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,Total violent Criminal Code violations,118,2589.42
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,Total violent Criminal Code violations,109,2391.92
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,Total violent Criminal Code violations,91,2006.17
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,Total violent Criminal Code violations,96,2107.11
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,Total violent Criminal Code violations,118,2574.17
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,Total violent Criminal Code violations,144,3112.17
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,Total violent Criminal Code violations,94,2023.25
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2010 12:00:00 AM,Total violent Criminal Code violations,111,2420.94
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",279,3712.57
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",284,3795.27
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",247,3298.61
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",291,3822.41
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",328,4254.77
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",386,4912.19
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",428,5357.37
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",452,5633.8
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,Total other Criminal Code violations,60,798.4
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,Total other Criminal Code violations,46,614.73
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,Total other Criminal Code violations,39,520.83
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,Total other Criminal Code violations,52,683.04
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,Total other Criminal Code violations,54,700.48
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,Total other Criminal Code violations,64,814.46
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,Total other Criminal Code violations,70,876.2
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,Total other Criminal Code violations,94,1171.63
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,Total property crime violations,122,1623.42
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,Total property crime violations,121,1617
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,Total property crime violations,123,1642.63
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,Total property crime violations,145,1904.64
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,Total property crime violations,184,2386.82
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,Total property crime violations,191,2430.64
